Name,Disc. Date,mmax,Host Name,R.A.,Dec.,Type
SN2004gq,2004/12/11,14.34,NGC 1832,"05:12:04.81,05:12:04.867","-15:40:54.2,-15:40:53.65",Ib
SN2015be,2015/12/06,17.07,NGC 1843,05:14:06.24,-10:37:30.0,II P
SN2018yu,2018/03/01,13.9,NGC 1888,05:22:32.360,-11:29:13.87,Ia
SN2006ej,2006/08/23,15.46,NGC 191,00:38:59.77,"-09:00:56.6,-09:00:56.59",Ia
SN2013ex,2013/08/19,14.44,NGC 1954,"05:32:46.620,05:32:46.62,05:32:46.608","-14:02:45.41,-14:02:45.4,-14:02:46.32",Ia
SN2010ko,2010/12/05,15.4,NGC 1954,05:32:49.44,-14:05:45.9,Ia
SN2011fi,2011/08/27,18,NGC 1954,05:32:52.79,-14:05:17.0,II
SN2001is,2001/12/22,17,NGC 1961,"05:42:09.07,05:42:09.12,05:42:09.070,05:42:09.16","+69:21:54.8,+69:21:54.5,+69:21:54.79",Ib
SN1998eb,1998/09/17,20,NGC 1961,"05:42:12.02,05:42:12.019","+69:22:26.3,+69:22:26.29",Ia
SN2013cc,2013/04/28,16.4,NGC 1961,05:41:58.76,+69:21:40.9,II
SN2019yc,2019/01/22,16.7,NGC 201,"00:39:35.000,00:39:34.985","+00:52:04.70,+00:52:04.224",II
SNhunt260,2014/10/15,20.1,NGC 201,00:39:34.78,"+00:51:17.6,+00:51:17.57",
SN2005ct,2005/07/01,17.3,NGC 207,00:39:40.50,-14:14:16.6,Ic
SN2017dhr,2017/04/20,14.7,NGC 2076,"05:46:47.270,00:23:07.1496","-16:47:00.30,-16:47:00.24",Ia
SN2003hx,2003/09/12,14.3,NGC 2076,05:46:46.97,-16:47:00.6,Ia
SN1992ba,1992/09/30,14,NGC 2082,"05:41:47.10,05:41:47.112,05:41:47.14,05:41:47.160,05:41:47.16","-64:18:00.7,-64:18:00.72,-64:18:00.87,-64:18:00.79,-64:18:00.8,-64:18:00.9",II P
SN1954R,1954/09/07,15.9,NGC 210,"00:40:41,00:40:41.000,00:40:41.0,00:40:40.94","-13:53.7,-13:53:40.00,-13:53:40.0,-13:53:42.3",
SN2016aqf,2016/02/26,14.19,NGC 2101,"05:46:23.907,05:46:23.91,05:46:23.808","-52:05:18.86,-52:05:18.9,-52:05:18.6",II
SN1995ad,1995/09/22,14.25,NGC 2139,"06:01:06.13,06:01:06.11,06:01:06.130","-23:40:29.0,-23:40:29.1,-23:40:28.99",II
SN2006ep,2006/08/30,16.11,NGC 214,00:41:24.88,+25:29:46.7,Ib
SN2005db,2005/07/19,16.36,NGC 214,00:41:26.79,+25:29:51.6,IIn
SN2018zd,2018/03/02,13.7,NGC 2146,"06:18:03.180,06:18:03.192","+78:22:00.90,+78:22:01.2",IIn
SN2005V,2005/01/30,13.8,NGC 2146,06:18:38.28,+78:21:28.8,Ib/c
SN2013ai,2013/03/01,16.18,NGC 2207,06:16:18.35,-21:22:32.9,II
SN1975A,1975/01/15,14.4,NGC 2207,"06:16:26,06:16:26.300,06:16:26.3,06:16:26.26","-21:21.4,-21:21:24.00,-21:21:24.0,-21:21:26.7",Ia
SN2003H,2003/01/08,17.8,NGC 2207,"06:16:25.68,06:16:25.688","-21:22:23.8,-21:22:23.89",Ib/Ic (Ca rich)
SN1999ec,1999/10/02,17.8,NGC 2207,"06:16:16.16,06:16:16.18,06:16:16.159","-21:22:09.8,-21:22:10.1,-21:22:09.80",Ia/c
SN2017fzw,2017/08/09,13.67,NGC 2217,"06:21:34.770,06:21:34.824","-27:12:53.51,-27:12:53.64",Ia-91bg
SN1993K,1993/03/28,14.5,NGC 2223,"06:24:37.8,06:24:37.776,06:24:37.800,06:24:37.80,06:24:38.06","-22:49:50,-22:49:50.88,-22:49:51.00,-22:49:51.0,-22:49:46.7",II?
